,player,realised_curr,realised_prev,mean_pos_curr,mean_pos_prev,ngames_curr,ngames_prev,volatility,curr_projection,future_projection
0,Mookie Betts,614.0,712.0,1.0615384615384615,1.9673202614379084,130.0,153.0,0.008469313052412256,666.8442385620915,629.0623461538462
1,J.D. Martinez,649.0,489.0,3.526666666666667,4.754098360655738,150.0,61.0,0.023615090195453894,520.8299918032787,616.0317333333332
2,Christian Yelich,651.0,695.0,1.979020979020979,2.935483870967742,143.0,155.0,0.035670795678072485,646.3535322580644,636.1993251748252
3,Jose Altuve,599.0,662.0,2.5223880597014925,2.642384105960265,134.0,151.0,0.0005893572520760725,633.4835728476821,603.469723880597
4,Justin Turner,426.0,543.0,2.4574468085106385,2.9838709677419355,94.0,124.0,0.015395688634576564,569.7542580645161,517.7740212765957
5,Mike Trout,608.0,507.0,2.3795620437956204,2.336283185840708,137.0,113.0,8.329623434329435e-05,559.7746327433629,609.7386240875912
6,Scooter Gennett,638.0,497.0,3.7464788732394365,4.62037037037037,142.0,108.0,0.007670730553584974,526.486212962963,607.8093591549296
7,Freddie Freeman,707.0,514.0,3.0,3.0,158.0,116.0,0.0,555.0545,651.5545
8,Michael Brantley,631.0,375.0,2.382978723404255,3.0,141.0,87.0,0.04721705257392597,485.55449999999996,621.1963085106383
9,Anthony Rendon,597.0,605.0,3.2686567164179103,5.048951048951049,134.0,143.0,0.01462531928846634,575.1782412587413,593.2271865671642
10,Lorenzo Cain,620.0,645.0,1.562043795620438,2.616883116883117,137.0,154.0,0.019798880682276414,625.2994025974026,625.8635875912408
11,Ben Zobrist,520.0,496.0,3.0555555555555554,2.876190476190476,108.0,105.0,0.004644735123130185,547.5878809523809,557.3664444444444
12,Whit Merrifield,707.0,630.0,1.564102564102564,2.2447552447552446,156.0,143.0,0.0015987719221984954,622.4082062937064,669.3380897435898
13,Jean Segura,632.0,566.0,2.0,1.112,143.0,125.0,0.03603784930531784,604.43738,626.4395
14,Corey Dickerson,533.0,629.0,4.008130081300813,2.602836879432624,123.0,141.0,0.012079773389189639,617.473365248227,552.0688089430894
15,Daniel Murphy,351.0,593.0,1.2424242424242424,4.169117647058823,33.0,136.0,0.032103983347331624,580.0749779411765,495.32207575757576
16,Miguel Cabrera,157.0,529.0,3.0,3.37984496124031,36.0,129.0,0.008516448664276319,557.8501201550388,376.55449999999996
17,Nick Castellanos,678.0,665.0,2.9096774193548387,3.9483870967741934,155.0,155.0,0.007260955023702161,618.8087258064515,638.1731451612903
18,Manny Machado,709.0,690.0,2.8,2.4166666666666665,65.0,156.0,0.002512692672949084,650.2790833333333,655.0315
19,Nick Markakis,705.0,670.0,4.0,4.2165605095541405,160.0,157.0,0.021137379485053488,617.987398089172,638.1695
20,Nolan Arenado,673.0,680.0,3.1907894736842106,3.141025641025641,152.0,156.0,0.00013757994671500585,636.3078974358974,632.191572368421
21,Mallex Smith,544.0,282.0,5.140625,5.117647058823529,128.0,68.0,0.0021394453155036525,412.8274411764706,543.542859375
22,David Peralta,614.0,577.0,2.6715328467153285,1.9047619047619047,137.0,126.0,0.00869709122422211,600.1190238095238,609.1225656934307
23,Andrelton Simmons,600.0,647.0,4.986111111111111,5.094936708860759,144.0,158.0,0.0008968002229108405,595.6087088607595,573.4565138888888
24,Trevor Story,656.0,555.0,4.7290322580645165,6.419847328244275,155.0,131.0,0.014754768030442532,533.1996908396947,604.640435483871
25,Charlie Blackmon,696.0,725.0,1.4834437086092715,1.3636363636363635,151.0,165.0,0.006023992802589699,680.8208636363636,664.8370496688742
26,Yuli Gurriel,573.0,564.0,4.575757575757576,6.029197080291971,132.0,137.0,0.005428616269126169,542.537894160584,565.0387424242424
27,Andrew Benintendi,661.0,658.0,1.8642857142857143,3.06993006993007,140.0,143.0,0.007985648910973586,626.1884160839161,642.6203214285714
28,Paul Goldschmidt,690.0,665.0,2.888888888888889,3.335526315789474,153.0,152.0,0.003943010870295945,626.3990065789474,644.4306111111111
29,Matt Kemp,506.0,467.0,4.2905982905982905,3.97196261682243,117.0,107.0,0.015582673736298918,519.5167429906542,535.0704401709402
30,Xander Bogaerts,580.0,635.0,4.358208955223881,3.7777777777777777,134.0,144.0,0.015827576496051467,605.9217222222222,571.2330820895522
31,Jorge Polanco,333.0,544.0,3.289473684210526,5.4296875,76.0,128.0,0.003880475843528778,539.9628203125,460.96936842105265
32,Eddie Rosario,592.0,589.0,2.734848484848485,6.195804195804196,132.0,143.0,0.013093757339095336,552.9744650349651,597.3384015151515
33,Alex Bregman,705.0,626.0,2.621794871794872,5.716216216216216,156.0,148.0,0.007433584031816879,577.4141621621621,655.2385705128205
34,Albert Almora Jr.,479.0,323.0,3.351063829787234,6.575757575757576,94.0,66.0,0.007516191726447293,415.2687424242424,533.2065744680851
35,Mitch Haniger,683.0,410.0,2.9358974358974357,3.768421052631579,156.0,95.0,0.01408688133242434,493.5376052631579,640.3484102564103
36,Joey Votto,623.0,707.0,2.949640287769784,3.0,139.0,162.0,0.0002099040192306588,651.5545,610.1782050359712
37,Gerardo Parra,443.0,425.0,5.389473684210526,4.858585858585859,95.0,99.0,0.004329970035595077,487.53591414141414,489.9608684210526
38,Buster Posey,448.0,568.0,3.0606060606060606,3.917293233082707,99.0,133.0,0.014352264160730037,570.6938233082707,521.3038939393939
39,Anthony Rizzo,665.0,691.0,3.0342465753424657,3.0576923076923075,146.0,156.0,0.005924353604830771,642.8399807692308,630.1303561643836
40,Joe Mauer,543.0,597.0,1.206896551724138,2.66412213740458,116.0,131.0,0.0219636512470948,600.7143473282442,591.7620862068966
41,Adam Jones,613.0,635.0,2.979020979020979,2.6462585034013606,143.0,147.0,0.001502172409496378,619.9355884353741,604.8143251748252
42,Marcell Ozuna,628.0,679.0,4.027397260273973,4.153846153846154,146.0,156.0,0.0025182227935005427,623.2641153846154,599.3301849315069
43,Aaron Judge,498.0,678.0,2.0,3.801324503311258,106.0,151.0,0.02454814359993957,627.13009602649,559.4395
44,Starlin Castro,647.0,473.0,3.1621621621621623,4.513513513513513,148.0,111.0,0.005925407389371354,515.8096351351351,619.5461216216216
45,Matt Chapman,616.0,326.0,4.204225352112676,6.771084337349397,142.0,83.0,0.010447960455975009,414.3496204819277,591.1401690140844
46,Starling Marte,606.0,339.0,2.389705882352941,1.6493506493506493,136.0,77.0,0.013405227894917488,484.2822922077922,608.6129926470588
47,Francisco Lindor,745.0,723.0,1.139240506329114,1.6226415094339623,158.0,159.0,0.018418923075184515,676.6130849056603,693.600006329114
48,J.T. Realmuto,531.0,579.0,2.6416666666666666,4.962962962962963,120.0,135.0,0.01703598917847889,563.2432037037037,567.9924583333334
49,Adam Frazier,352.0,454.0,1.838235294117647,2.294736842105263,68.0,95.0,0.00018446985551050585,533.7891842105263,488.4429558823529
50,DJ LeMahieu,581.0,682.0,1.6141732283464567,2.026315789473684,127.0,152.0,0.012852119324391004,651.1135789473684,605.7179645669291
51,Tommy Pham,570.0,530.0,2.49438202247191,2.8706896551724137,89.0,116.0,0.0033237230774855585,564.6560086206896,589.3165786516854
